dataSource,value_O_wells,units_wells,value_O_heads,units_heads,value_O_drains,units_drains,Zone_1,Zone_2,Zone_3,Zone_4,Zone_5,Zone_6,Zone_7,Zone_8,Zone_9,Zone_10,Zone_11
029801341136c2a0a90e2862e23fceba.csv,1760000000,ft3 (total for entire model),789.2759,feet (monthly average),19.832386,cfs,2,1.5,1.9,2,1.9,1.9,2,0.6,2,1.9,0.5
02a32b6b5931d378f59d795030b19aed.csv,3380000000,ft3 (total for entire model),780.5862,feet (monthly average),17.806728,cfs,2,1.5,2,2,1.9,2,1.9,0.9,2,2,1.8
02ab25dd71c7b652a3d9f61057ff3526.csv,3200000000,ft3 (total for entire model),781.97144,feet (monthly average),18.14977,cfs,2,1.8,2,1.9,1.9,1.8,1.9,0.7,1.8,2,1.9
02b95db55437f0f7db9988d240324ba7.csv,3300000000,ft3 (total for entire model),781.22015,feet (monthly average),18.20069,cfs,1.9,1.5,1.9,2,1.9,1,2,0.8,2,2,2
02bcc7db7b20d52e9cccbb7afc1bbb75.csv,3070000000,ft3 (total for entire model),782.53314,feet (monthly average),18.292221,cfs,2,1.9,2,2,2,1.9,2,0.5,2,2,2
02d43d842066237c275360a4eedb14fc.csv,3180000000,ft3 (total for entire model),782.10925,feet (monthly average),18.341381,cfs,1.9,0.7,1.9,2,2,1.9,1.9,0.7,2,2,1.9
02d56af99d653d26a9e1404f1cebca1d.csv,3300000000,ft3 (total for entire model),781.0445,feet (monthly average),18.069105,cfs,1.9,1.4,1.9,1.2,2,1.8,2,0.8,2,2,1.9
02e8c51c315268245d41e5f69c7820cc.csv,3300000000,ft3 (total for entire model),781.4855,feet (monthly average),18.013622,cfs,2,1.9,2,2,1.9,1.8,1.9,0.7,1.9,1.8,2
02ed2d050e4f09a2529afad3faa1b979.csv,3160000000,ft3 (total for entire model),781.5818,feet (monthly average),18.230505,cfs,1.9,1.5,2,1,1.9,2,1.8,0.6,1.8,2,2
02ef9116f91dfd0a8bc31c073fdde913.csv,3130000000,ft3 (total for entire model),781.66187,feet (monthly average),18.287357,cfs,1.9,1.5,2,0.8,2,1.8,1.9,0.6,2,2,2
02f237c30620171a55f33e02a764cd81.csv,3480000000,ft3 (total for entire model),780.137,feet (monthly average),17.66503,cfs,1.9,1.5,1.9,1.9,1.9,2,2,0.9,2,2,1.9
